mes;cartao_total;desafio_52s_total
2026-02;1089,08;70,0
2026-03;654,49;200,0
2026-04;563,9;250,0
2026-05;431,40000000000003;425,0
2026-06;431,40000000000003;430,0
2026-07;431,40000000000003;510,0
2026-08;379,41;750,0
2026-09;303,34000000000003;690,0
2026-10;256,35;770,0
2026-11;53,64;1075,0
2026-12;53,64;950,0
2027-01;53,64;765,0
2027-02;53,64;0,0
2027-03;53,64;0,0
2027-04;53,64;0,0
2027-05;53,64;0,0
2027-06;53,64;0,0
2027-07;53,64;0,0
2027-08;53,64;0,0
2027-09;53,64;0,0
2027-10;53,64;0,0
2027-11;53,64;0,0
2027-12;53,64;0,0
